medcodeid,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,term,aecopd_breathlessness,copd_chronic_breathlessness
"13821631000006119","","","","","",0,1
"13821641000006112","","","","","",0,1
"13821621000006117","","","","","",0,1
"13821651000006114","","","","","",0,1
"13821611000006113","","","","","",0,1
"13821601000006110","","","","","",0,1
"2002191000006115","1060991000000107","2667011000000113","EMISNQMR1","","MRC (Medical Research Council) Breathlessness Scale grade 5a",0,1
"2002201000006117","1061001000000106","2667031000000117","EMISNQMR2","","MRC (Medical Research Council) Breathlessness Scale grade 5b",0,1
"2730801000000116","1089971000000104","2730801000000116","^ESCT1171833","","eMRC (extended Medical Research Council) dyspnoea scale grade 1",0,1
"2730821000000113","1089981000000102","2730821000000113","^ESCT1171834","","eMRC (extended Medical Research Council) dyspnoea scale grade 2",0,1
"2730841000000118","1089991000000100","2730841000000118","^ESCT1171835","","eMRC (extended Medical Research Council) dyspnoea scale grade 3",0,1
"2730861000000117","1090001000000101","2730861000000117","^ESCT1171836","","eMRC (extended Medical Research Council) dyspnoea scale grade 5a",0,1
"2730881000000114","1090011000000104","2730881000000114","^ESCT1171837","","eMRC (extended Medical Research Council) dyspnoea scale grade 4",0,1
"12117601000006112","1099371000000102","2752271000000113","^ESCT1211760","","mMRC (modified Medical Research Council) dyspnoea scale grade 0",0,1
"12117611000006110","1099381000000100","2752291000000112","^ESCT1211761","","mMRC (modified Medical Research Council) dyspnoea scale grade 1",0,1
"12117621000006119","1099391000000103","2752311000000113","^ESCT1211762","","mMRC (modified Medical Research Council) dyspnoea scale grade 2",0,1
"12117631000006116","1099401000000100","2752331000000117","^ESCT1211763","","mMRC (modified Medical Research Council) dyspnoea scale grade 3",0,1
"12117641000006114","1099411000000103","2752351000000112","^ESCT1211764","","mMRC (modified Medical Research Council) dyspnoea scale grade 4",0,1
"252385016","161939006","252385016","1732","1732.00","Breathless - moderate exertion",0,1
"252386015","161940008","252386015","1733","1733.00","Breathless - mild exertion",0,1
"252387012","161941007","252387012","1734","1734.00","Breathless - at rest",0,1
"4545441000006113","161941007","252388019","^ESCTSO454544","","SOBAR - Shortness of breath at rest",0,1
"4545421000006118","161941007","252389010","^ESCTDY454542","","Dyspnoea at rest",1,1
"253889014","162890008","253889014","2322","2322.00","O/E - dyspnoea",1,0
"253892013","162892000","253892013","2324","2324.00","O/E - respiratory distress",1,0
"1807841000006119","1807841000006103","1807841000006119","EMISNQOE22","","O/E - dyspnoea at rest",1,0
"1807851000006117","1807851000006101","1807851000006117","EMISNQOE23","","O/E - dyspnoea on exertion",0,1
"1970561000006119","1970561000006103","1970561000006119","EMISNQCO271","","COPD assessment test score - breathless walking up hill/stairs",0,1
"344917018","230145002","344917018","1738","1738.00","Difficulty breathing",1,1
"5004081000006113","230145002","344919015","^ESCTDI500408","","DIB - Difficulty in breathing",1,0
"371012016","248548009","371012016","173D","173D.00","Nocturnal dyspnoea",0,1
"5497731000006112","267036007","397885013","^ESCTDY549773","","Dyspnea",0,1
"317395018","267036007","397886014","R060A","R060A00","[D]Dyspnoea",1,0
"633381000006111","267036007","397886014","173-2","173..12","Dyspnoea - symptom",1,1
"525741000006111","267036007","397886014","173-1","173..11","Breathlessness symptom",1,1
"140461000006116","267036007","397886014","173-3","173..13","Dyspnoea",0,1
