prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,groups
"10212141000033111","28808411000001103","Prednisolone 10mg tablets","Prednisolone 10mg tablets","Tablet","Oral","Prednisolone","10.000mg","","ocs"
"10212341000033114","28808711000001109","Prednisolone 20mg tablets","Prednisolone 20mg tablets","Tablet","Oral","Prednisolone","20.000mg","","ocs"
"10212441000033115","28798211000001102","Pevanti 2.5mg tablets (Advanz Pharma)","Pevanti 2.5mg tablets","Tablet","Oral","Prednisolone","2.500mg","","ocs"
"10212541000033119","28799011000001102","Pevanti 5mg tablets (Advanz Pharma)","Pevanti 5mg tablets","Tablet","Oral","Prednisolone","5.000mg","","ocs"
"10212641000033118","28799311000001104","Pevanti 10mg tablets (Advanz Pharma)","Pevanti 10mg tablets","Tablet","Oral","Prednisolone","10.000mg","","ocs"
"10212741000033110","28799611000001109","Pevanti 20mg tablets (Advanz Pharma)","Pevanti 20mg tablets","Tablet","Oral","Prednisolone","20.000mg","","ocs"
"10212941000033113","28799811000001108","Pevanti 25mg tablets (Advanz Pharma)","Pevanti 25mg tablets","Tablet","Oral","Prednisolone","25.000mg","","ocs"
"1022341000033117","3245011000001103","Oxis 12 Turbohaler (AstraZeneca UK Ltd)","Oxis 12 Turbohaler","Inhalation powder","Inhalation","Formoterol fumarate dihydrate","12.000microgram/1.000dose","3010101","laba"
"1022441000033111","3243511000001107","Oxis 6 Turbohaler (AstraZeneca UK Ltd)","Oxis 6 Turbohaler","Inhalation powder","Inhalation","Formoterol fumarate dihydrate","6.000microgram/1.000dose","3010101","laba"
"10266841000033117","29424511000001109","Prednisolone 5mg/5ml oral solution unit dose","Prednisolone 5mg/5ml oral solution unit dose","Oral solution","Oral","Prednisolone","1.000mg/1.000ml","","ocs"
"10387141000033115","29782111000001107","Sirdupla 25micrograms/dose / 125micrograms/dose inhaler (Mylan)","Sirdupla 25micrograms/dose / 125micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","","laba_ics"
"10387241000033110","29782511000001103","Sirdupla 25micrograms/dose / 250micrograms/dose inhaler (Mylan)","Sirdupla 25micrograms/dose / 250micrograms/dose inhaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","","laba_ics"
"1044541000033118","","Penicillin V Capsules 250 mg","","","","","","","abx"
"10494341000033117","29904211000001102","Prednisolone 10mg/ml oral solution sugar free","Prednisolone 10mg/ml oral solution sugar free","Oral solution","Oral","Prednisolone","10.000mg/1.000ml","","ocs"
"1051141000033110","","Penicillin V Elixir 125 mg/5 ml","","","","","","","abx"
"1051241000033115","","Penicillin V Elixir 250 mg/5 ml","","","","","","","abx"
"1051341000033113","","Penicillin V Elixir 62.5 mg/5 ml","","","","","","","abx"
"10589141000033112","29987211000001108","Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free","Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free","Pressurised inhalation/ Inhalation solution","Inhalation","Olodaterol hydrochloride/ Tiotropium bromide","2.500microgram/1.000dose + 2.500microgram/1.000dose","3010400","lama_laba"
"10589241000033117","29971311000001100","Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)","Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device","Pressurised inhalation/ Inhalation solution","Inhalation","Olodaterol hydrochloride/ Tiotropium bromide","2.500microgram/1.000dose + 2.500microgram/1.000dose","3010400","lama_laba"
"1064641000033111","","Penicillin Vk Tablets 250 mg","","","","","","","abx"
"1067741000033113","","Penicillin V Tablets 250 mg","","","","","","","abx"
"10715041000033111","30950311000001106","AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (Sandoz Ltd)","AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","500.000microgram/1.000dose + 50.000microgram/1.000dose","3020000","laba_ics"
"10735041000033115","31087511000001105","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Beclometasone dipropionate/ Formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","","laba_ics"
"10735141000033116","31063111000001106","Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd)","Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Beclometasone dipropionate/ Formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","","laba_ics"
"10740041000033111","31087411000001106","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free","Pressurised inhalation","Inhalation","Beclometasone dipropionate/ Formoterol fumarate dihydrate","200.000microgram + 6.000microgram","","laba_ics"
"10740141000033110","31063411000001101","Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd)","Fostair 200micrograms/dose / 6micrograms/dose inhaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate/ Formoterol fumarate dihydrate","200.000microgram + 6.000microgram","","laba_ics"
"1114241000033116","325442004","Prednisolone 2.5mg gastro-resistant tablets","Prednisolone 2.5mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Prednisolone","2.500mg","1050000","ocs"
"1114341000033114","325443009","Prednisolone 5mg gastro-resistant tablets","Prednisolone 5mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Prednisolone","5.000mg","6030200","ocs"
"1127341000033111","325444003","Prednisolone 5mg soluble tablets","Prednisolone 5mg soluble tablets","Soluble tablet","Oral","Prednisolone sodium phosphate","5.000mg","6030200","ocs"
"1130741000033110","325450008","Prednisolone 25mg tablets","Prednisolone 25mg tablets","Tablet","Oral","Prednisolone","25.000mg","6030200","ocs"
"1130841000033117","","Prednisolone Steaglate Tablets 6.65 mg","","","","","","","ocs"
"1131741000033117","325426006","Prednisolone 1mg tablets","Prednisolone 1mg tablets","Tablet","Oral","Prednisolone","1.000mg","6030200","ocs"
"1131841000033110","28808611000001100","Prednisolone 2.5mg tablets","Prednisolone 2.5mg tablets","Tablet","Oral","Prednisolone","2.500mg","","ocs"
"1131941000033119","325427002","Prednisolone 5mg tablets","Prednisolone 5mg tablets","Tablet","Oral","Prednisolone","5.000mg","1050000","ocs"
"1132041000033113","","Prednisone Tablets 1 mg","","","","","","","ocs"
"1132141000033112","","Prednisone Tablets 5 mg","","","","","","","ocs"
"1143041000033117","2924111000001109","Pulmicort 200micrograms/dose inhaler (AstraZeneca UK Ltd)","Pulmicort 200micrograms/dose inhaler","Pressurised inhalation","Inhalation","Budesonide","200.000microgram/1.000dose","","ics"
"1143141000033118","3240911000001108","Pulmicort LS 50micrograms/dose inhaler (AstraZeneca UK Ltd)","Pulmicort LS 50micrograms/dose inhaler","Pressurised inhalation","Inhalation","Budesonide","50.000microgram/1.000dose","","ics"
