medcodeid,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,term,cough,dyspnoea,sputum
"1002031000033115","1002031000033104","1002031000033115","DRGA22040NEMIS","","Powerbreathe Medic",,1,
"819531000006116","1009221000000105","2561821000000113","4JM","4JM..00","Helicobacter breath test",,1,
"256353016","1009221000000105","2561821000000113","3167","3167.00","Helicobacter pylori breath test",,1,
"2514671000006115","1023001","247858015","^ESCTHA251467","","Has stopped breathing",,1,
"2514681000006117","1023001","247859011","^ESCTNO251468","","Not breathing",,1,
"2619871000000116","1038001000000107","2619871000000116","16ZC1","","howRthey rating score - pain and/or distress",,1,
"131741000006116","104173009","168044010","4E4","4E4..00","Microbial culture of sputum",,,1
"1042191000006113","1042191000006109","1042191000006113","ALLERGY19054NEMIS","","Adverse reaction to Qvar Easi-Breathe",,1,
"11932071000006115","1060991000000107","11932071000006115","^ESCT1193207","","MRC (Medical Research Council) Breathlessness Scale grade 5a",,1,
"2002191000006115","1060991000000107","2667011000000113","EMISNQMR1","","MRC (Medical Research Council) Breathlessness Scale grade 5a",,1,
"11932081000006117","1061001000000106","11932081000006117","^ESCT1193208","","MRC (Medical Research Council) Breathlessness Scale grade 5b",,1,
"2002201000006117","1061001000000106","2667031000000117","EMISNQMR2","","MRC (Medical Research Council) Breathlessness Scale grade 5b",,1,
"1071661000006119","1071661000006103","1071661000006119","ALLERGY6153EMIS","","Adverse reaction to Cromogen Easi-Breathe",,1,
"1075581000006111","1075581000006107","1075581000006111","ALLERGY5645EMIS","","Adverse reaction to Beclazone Easi-Breathe",,1,
"1075591000006114","1075591000006105","1075591000006114","ALLERGY5646EMIS","","Adverse reaction to Beclazone 250 Easi-Breathe",,1,
"1076341000006116","1076341000006100","1076341000006116","ALLERGY5710EMIS","","Adverse reaction to Salamol Easi-Breathe",,1,
"1084571000006118","1084571000006102","1084571000006118","ALLERGY6299EMIS","","Adverse reaction to Ventolin Easi-Breathe",,1,
"1084601000006113","1084601000006109","1084601000006113","ALLERGY6300EMIS","","Adverse reaction to Becotide 50 Easi-Breathe",,1,
