medcodeid,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,term,eth5
"154401000000118","107691000000105","154401000000118","9iB","9iB..00","Caribbean - ethnic category 2001 census","2. Black"
"156921000000110","110401000000103","156921000000110","9i29","9i29.00","Turkish - ethnic category 2001 census","0. White"
"157271000000119","110751000000108","157271000000119","9i7","9i7..00","Indian or British Indian - ethnic category 2001 census","1. South Asian"
"157281000000117","110761000000106","157281000000117","9i20","9i20.00","English - ethnic category 2001 census","0. White"
"157291000000115","110771000000104","157291000000115","9i62","9i62.00","Black and White - ethnic category 2001 census","4. Mixed"
"157301000000116","110781000000102","157301000000116","9iA6","9iA6.00","Sinhalese - ethnic category 2001 census","1. South Asian"
"157311000000119","110791000000100","157311000000119","9iD2","9iD2.00","Black British - ethnic category 2001 census","2. Black"
"157351000000115","110831000000107","157351000000115","9iF5","9iF5.00","Hindu - ethnic category 2001 census","3. Other"
"1564291000006119","1564291000006103","1564291000006119","EMISNQBA5","","Bangladeshi","1. South Asian"
"1564391000006113","1564391000006109","1564391000006113","EMISNQBR12","","British","0. White"
"1564491000006115","1564491000006104","1564491000006115","EMISNQCE3","","Central African","2. Black"
"1564921000006112","1564921000006108","1564921000006112","EMISNQIN16","","Indian","1. South Asian"
"1564961000006118","1564961000006102","1564961000006118","EMISNQIR3","","Irish","0. White"
"1565441000006111","1565441000006107","1565441000006111","EMISNQPA32","","Pakistani","1. South Asian"
"1565711000006118","1565711000006102","1565711000006118","EMISNQSO9","","South African","2. Black"
"250223019","160514004","250223019","1342","1342.00","African origin","2. Black"
"250224013","160515003","250224013","1343","1343.00","Asian origin","1. South Asian"
"250228011","160519009","250228011","1347","1347.00","Indian origin","1. South Asian"
"250231012","160522006","250231012","134A","134A.00","West Indian origin","1. South Asian"
"250243013","160531006","250243013","134K","134K.00","Race: West indian","1. South Asian"
"253635014","162730000","253627011","226Z","226Z.00","O/E - ethnic group NOS","5. Not Stated"
"253627011","162730000","253627011","226","226..00","O/E - ethnic group","5. Not Stated"
"253628018","162730000","253628018","226-1","226..11","O/E - ethnic origin","5. Not Stated"
"30683015","18167009","30683015","9S3","9S3..00","Black African","2. Black"
"285925010","185984009","285925010","9S1","9S1..00","White","0. White"
"459728018","185984009","285926011","9S12","9S12.00","White - ethnic group","0. White"
"285930014","185988007","285930014","9S42-1","9S42.11","Black Caribbean","2. Black"
"514611000006111","185988007","285930014","9S2","9S2..00","Black Caribbean","2. Black"
"285931013","185989004","285931013","9S4","9S4..00","Black, other, non-mixed origin","2. Black"
"285950013","185989004","285931013","9S48","9S48.00","Black Black - other","2. Black"
"285932018","185990008","285932018","9S41","9S41.00","Black British","2. Black"
"285943014","185993005","285943014","9S44","9S44.00","Black - other African country","2. Black"
"285948017","185995003","285948017","9S46","9S46.00","Black Indian sub-continent","2. Black"
"285949013","185996002","285949013","9S47","9S47.00","Black - other Asian","2. Black"
"285951012","185998001","285951012","9S5","9S5..00","Black - other, mixed","2. Black"
"285952017","185999009","285952017","9S51","9S51.00","Other Black - Black/White orig","4. Mixed"
"285953010","186000006","285953010","9S52","9S52.00","Other Black - Black/Asian orig","4. Mixed"
"196721000006111","186002003","285955015","134M","134M.00","RACE: Pakistani","1. South Asian"
"285955015","186002003","285955015","9S7","9S7..00","Pakistani","1. South Asian"
"196631000006117","186003008","285956019","134I","134I.00","RACE: Bangladeshi","1. South Asian"
"285956019","186003008","285956019","9S8","9S8..00","Bangladeshi","1. South Asian"
"285958018","186005001","285958018","9SA","9SA..00","Other ethnic non-mixed (NMO)","3. Other"
"285988010","186005001","285958018","9SAD","9SAD.00","Other ethnic NEC (NMO)","3. Other"
"4740241000006117","186006000","2668697019","^ESCTBR474024","","British ethnic minority specified (NMO)","3. Other"
"285959014","186006000","285959014","9SA1","9SA1.00","Brit. ethnic minor. spec.(NMO)","3. Other"
"4740261000006118","186007009","2668698012","^ESCTBR474026","","British ethnic minority unspecified (NMO)","3. Other"
"285960016","186007009","285960016","9SA2","9SA2.00","Brit. ethnic minor. unsp (NMO)","3. Other"
"285971015","186010002","285971015","9SA5","9SA5.00","Other African countries (NMO)","2. Black"
"285976013","186012005","285976013","9SA7","9SA7.00","Indian sub-continent (NMO)","1. South Asian"
"285977016","186013000","285977016","9SA8","9SA8.00","Other Asian (NMO)","1. South Asian"
"285978014","186014006","285978014","9SA9","9SA9.00","Irish (NMO)","0. White"
"285987017","186017004","285987017","9SAC","9SAC.00","Other European (NMO)","0. White"
"285989019","186019001","285989019","9SB","9SB..00","Other ethnic, mixed origin","4. Mixed"
"4740341000006112","186020007","2763938013","^ESCTOT474034","","Other ethnic, Black/White origin","4. Mixed"
"285990011","186020007","285990011","9SB1","9SB1.00","Other ethnic, Black/White orig","4. Mixed"
"4740361000006111","186021006","2764123018","^ESCTOT474036","","Other ethnic, Asian/White origin","4. Mixed"
"285991010","186021006","285991010","9SB2","9SB2.00","Other ethnic, Asian/White orig","4. Mixed"
"4740381000006118","186022004","2668812012","^ESCTOT474038","","Other ethnic, mixed white origin","4. Mixed"
"285992015","186022004","285992015","9SB3","9SB3.00","Other ethnic, mixed white orig","4. Mixed"
"4740401000006118","186023009","2668813019","^ESCTOT474040","","Other ethnic, other mixed origin","4. Mixed"
"285993013","186023009","285993013","9SB4","9SB4.00","Other ethnic, other mixed orig","4. Mixed"
"4740421000006111","186034007","286004017","^ESCTET474042","","Ethnicity / related nationality data","5. Not Stated"
"286005016","186034007","286005016","9T","9T...00","Ethnicity and other related nationality data","5. Not Stated"
"286022019","186035008","286006015","9T1Z","9T1Z.00","New Zealand ethnic group NOS","3. Other"
"286021014","186035008","286006015","9T1Y","9T1Y.00","Other New Zealand ethnic group","3. Other"
"286006015","186035008","286006015","9T1","9T1..00","New Zealand ethnic groups","5. Not Stated"
"286018012","186044009","286018012","9T1B","9T1B.00","South East Asian","3. Other"
"4917081000006119","223522008","336370018","^ESCTCE491708","","Central African Republic","2. Black"
"5516681000006114","270460000","2983029017","^ESCTBL551668","","Black Caribbean/West India/Guyana","2. Black"
"405064011","270460000","405064011","9S42","9S42.00","Black Caribbean/W.I./Guyana","2. Black"
"405065012","270461001","405065012","9S43","9S43.00","Black N African/Arab/Iranian","2. Black"
"514651000006112","270462008","405066013","9S45","9S45.00","Black East African Asian/Indo-Caribbean","2. Black"
"405067016","270463003","405067016","9SA3","9SA3.00","Caribbean I./W.I./Guyana (NMO)","2. Black"
"405068014","270464009","405068014","9SA4","9SA4.00","N African Arab/Iranian (NMO)","3. Other"
"405069018","270465005","405069018","9SA6","9SA6.00","E Afric Asian/Indo-Carib (NMO)","1. South Asian"
"405070017","270466006","405070017","9SAA","9SAA.00","Greek/Greek Cypriot (NMO)","0. White"
"405071018","270467002","405071018","9SAB","9SAB.00","Turkish/Turkish Cypriot (NMO)","0. White"
"411573013","275586009","411573013","9S43-1","9S43.11","Black North African","2. Black"
"411574019","275587000","411574019","9S43-2","9S43.12","Black Arab","2. Black"
"411575018","275588005","411575018","9S43-3","9S43.13","Black Iranian","2. Black"
"411576017","275589002","411576017","9S45-1","9S45.11","Black East African Asian","2. Black"
"411577014","275590006","411577014","9S45-2","9S45.12","Black Indo-Caribbean","2. Black"
"411578016","275591005","411578016","9SA3-1","9SA3.11","Caribbean Island (NMO)","2. Black"
"411579012","275592003","411579012","9SA3-2","9SA3.12","West Indian (NMO)","2. Black"
"411580010","275593008","411580010","9SA3-3","9SA3.13","Guyana (NMO)","2. Black"
"411581014","275594002","411581014","9SA4-1","9SA4.11","North African Arab (NMO)","3. Other"
"411582019","275595001","411582019","9SA4-2","9SA4.12","Iranian (NMO)","3. Other"
"411583012","275596000","411583012","9SA6-1","9SA6.11","East African Asian (NMO)","1. South Asian"
"411584018","275597009","411584018","9SA6-2","9SA6.12","Indo-Caribbean (NMO)","1. South Asian"
"411594011","275599007","411594011","9SAA-1","9SAA.11","Greek (NMO)","0. White"
"411595012","275600005","411595012","9SAA-2","9SAA.12","Greek Cypriot (NMO)","0. White"
"411596013","275601009","411596013","9SAB-1","9SAB.11","Turkish (NMO)","0. White"
"411597016","275602002","411597016","9SAB-2","9SAB.12","Turkish Cypriot (NMO)","0. White"
"412016016","276029002","412016016","2263-1","2263.11","O/E - Asian origin","1. South Asian"
"453109012","309643000","453109012","9S42-2","9S42.12","Black West Indian","2. Black"
"453110019","309644006","453110019","9S42-3","9S42.13","Black Guyana","2. Black"
"456650013","312859007","456650013","9SC","9SC..00","Vietnamese","3. Other"
"456652017","312861003","456652017","9SE","9SE..00","Ethnic group not recorded","5. Not Stated"
"459726019","315236000","459726019","9S10","9S10.00","White British","0. White"
"459727011","315237009","459727011","9S11","9S11.00","White Irish","0. White"
"459729014","315239007","459729014","ESCTMI5","","Mixed ethnic census group","4. Mixed"
"459730016","315240009","459730016","ESCTBL5","","Black - ethnic group","2. Black"
"459782019","315279003","459782019","9SG","9SG..00","Other black ethnic group","2. Black"
"286020010","315280000","459783012","9T1E","9T1E.00","Asian - ethnic group","1. South Asian"
"459784018","315281001","459784018","9SH","9SH..00","Other Asian ethnic group","1. South Asian"
"459786016","315283003","459786016","9SI","9SI..00","Irish traveller","0. White"
"460153018","315634007","460153018","9SB5","9SB5.00","Black Caribbean and White","4. Mixed"
"460154012","315635008","460154012","9SB6","9SB6.00","Black African and White","4. Mixed"
"56590016","33897005","56590016","9S9","9S9..00","Chinese","3. Other"
"6270381000006117","365455004","2670706014","^ESCTET627038","","Ethnic groups (1991 census) (UK)","5. Not Stated"
"6270391000006119","365455004","2982933016","^ESCTET627039","","Ethnic groups (1991 census) (United Kingdom)","5. Not Stated"
"713341000000111","368051000000100","713341000000111","13y6","13y6.00","British Israelite","0. White"
"459785017","372148003","1210724015","9SJ","9SJ..00","Ethnic group","3. Other"
"286017019","372148003","1210724015","9T1A","9T1A.00","Other Pacific ethnic group","3. Other"
"6364801000006112","372148003","1785254013","^ESCTET636480","","Ethnic category","5. Not Stated"
"649261000006110","397731000","1777341010","9S","9S...00","Ethnic group finding","5. Not Stated"
"286003011","397731000","1777341010","9SZ","9SZ..00","Ethnic groups (census) NOS","5. Not Stated"
"6591901000006115","397731000","1785938019","^ESCTET659190","","Ethnicity","5. Not Stated"
"6591911000006117","397731000","1785939010","^ESCTET659191","","Ethnic groups","5. Not Stated"
"1780407014","401213008","1780407014","9S13","9S13.00","White Scottish","0. White"
"1780408016","401214002","1780408016","9S14","9S14.00","Other white British ethnic group","0. White"
"196601000006113","413465009","2533840014","134H","134H.00","Afro-Caribbean","2. Black"
"196611000006111","413466005","2533841013","134L","134L.00","Afro-Caucasian","4. Mixed"
"6846371000006111","413773004","2533842018","^ESCTCA684637","","Caucasian","0. White"
"196641000006110","413773004","2537215011","134B","134B.00","Caucasian race","0. White"
"285954016","414481008","2533844017","9S6","9S6..00","Indian","1. South Asian"
"781081000006113","414481008","2533844017","9T1D","9T1D.00","Indian","1. South Asian"
"1063981000000117","494131000000105","1063981000000117","9i00","9i00.00","White British - ethnic category 2001 census","0. White"
"1064041000000111","494161000000100","1064041000000111","9i10","9i10.00","White Irish - ethnic category 2001 census","0. White"
"2645811000000115","718958002","2678971000000113","9TC","","Roma ethnic group","0. White"
"456651012","763726001","3643639011","9SD","9SD..00","Refusal by patient to provide information about ethnic group","5. Not Stated"
"136081000000111","86461000000107","136081000000111","9iA4","9iA4.00","Sri Lankan - ethnic category 2001 census","1. South Asian"
"138171000000114","88911000000101","138171000000114","9i2C","9i2C.00","Irish Traveller - ethnic category 2001 census","0. White"
"138181000000111","88921000000107","138181000000111","9i2D","9i2D.00","Traveller - ethnic category 2001 census","0. White"
"138191000000113","88931000000109","138191000000113","9i2E","9i2E.00","Gypsy/Romany - ethnic category 2001 census","0. White"
"138201000000110","88941000000100","138201000000110","9i2F","9i2F.00","Polish - ethnic category 2001 census","0. White"
"937301000006110","88951000000102","138211000000112","9i2G","9i2G.00","Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census","0. White"
"937311000006113","88961000000104","138221000000118","9i2H","9i2H.00","Commonwealth of (Russian) Independent States - ethnic category 2001 census","0. White"
"138231000000116","88971000000106","138231000000116","9i2K","9i2K.00","Albanian - ethnic category 2001 census","0. White"
"157991000000110","88981000000108","157991000000110","9i2N","9i2N.00","Serbian - ethnic category 2001 census","0. White"
"138241000000113","88991000000105","138241000000113","9iF6","9iF6.00","Jewish - ethnic category 2001 census","3. Other"
"138251000000111","89001000000105","138251000000111","9iF9","9iF9.00","Arab - ethnic category 2001 census","3. Other"
"138261000000114","89011000000107","138261000000114","9iFD","9iFD.00","Iranian - ethnic category 2001 census","3. Other"
"138271000000119","89021000000101","138271000000119","9iFH","9iFH.00","South and Central American - ethnic category 2001 census","3. Other"
"138281000000117","89031000000104","138281000000117","9iF7","9iF7.00","Muslim - ethnic category 2001 census","3. Other"
"141291000000111","92381000000106","141291000000111","9i","9i...00","Ethnic category - 2001 census","5. Not Stated"
"158341000000117","92391000000108","158341000000117","9i0","9i0..00","British or mixed British - ethnic category 2001 census","0. White"
"141301000000110","92401000000106","141301000000110","9i1","9i1..00","Irish - ethnic category 2001 census","0. White"
"141311000000112","92411000000108","141311000000112","9i2","9i2..00","Other White background - ethnic category 2001 census","0. White"
"141321000000118","92421000000102","141321000000118","9i3","9i3..00","White and Black Caribbean - ethnic category 2001 census","4. Mixed"
"141331000000116","92431000000100","141331000000116","9i4","9i4..00","White and Black African - ethnic category 2001 census","4. Mixed"
"141341000000113","92441000000109","141341000000113","9i5","9i5..00","White and Asian - ethnic category 2001 census","4. Mixed"
"141351000000111","92451000000107","141351000000111","9i6","9i6..00","Other Mixed background - ethnic category 2001 census","4. Mixed"
"141361000000114","92461000000105","141361000000114","9i8","9i8..00","Pakistani or British Pakistani - ethnic category 2001 census","1. South Asian"
"937541000006115","92471000000103","141371000000119","9i9","9i9..00","Bangladeshi or British Bangladeshi - ethnic category 2001 census","1. South Asian"
"141381000000117","92481000000101","141381000000117","9iA","9iA..00","Other Asian background - ethnic category 2001 census","1. South Asian"
"141391000000115","92491000000104","141391000000115","9iC","9iC..00","African - ethnic category 2001 census","2. Black"
"158351000000119","92501000000105","158351000000119","9iD","9iD..00","Other Black background - ethnic category 2001 census","2. Black"
"141401000000117","92511000000107","141401000000117","9iE","9iE..00","Chinese - ethnic category 2001 census","3. Other"
"141411000000115","92521000000101","141411000000115","9iF","9iF..00","Other - ethnic category 2001 census","3. Other"
"141421000000114","92531000000104","141421000000114","9iG","9iG..00","Ethnic category not stated - 2001 census","5. Not Stated"
"141431000000111","92541000000108","141431000000111","9i21","9i21.00","Scottish - ethnic category 2001 census","0. White"
"141441000000119","92551000000106","141441000000119","9i22","9i22.00","Welsh - ethnic category 2001 census","0. White"
"141451000000116","92561000000109","141451000000116","9i24","9i24.00","Northern Irish - ethnic category 2001 census","0. White"
"141461000000118","92571000000102","141461000000118","9i23","9i23.00","Cornish - ethnic category 2001 census","0. White"
"141471000000113","92581000000100","141471000000113","9i60","9i60.00","Black and Asian - ethnic category 2001 census","4. Mixed"
"141481000000110","92591000000103","141481000000110","9i61","9i61.00","Black and Chinese - ethnic category 2001 census","4. Mixed"
"141491000000112","92601000000109","141491000000112","9i63","9i63.00","Chinese and White - ethnic category 2001 census","4. Mixed"
"158361000000116","92611000000106","158361000000116","9i64","9i64.00","Asian and Chinese - ethnic category 2001 census","4. Mixed"
"937511000006119","92621000000100","141501000000118","9i65","9i65.00","Other Mixed or Mixed unspecified - ethnic category 2001 census","4. Mixed"
"141511000000116","92631000000103","141511000000116","9iA9","9iA9.00","Mixed Asian - ethnic category 2001 census","1. South Asian"
"141521000000110","92641000000107","141521000000110","9iA1","9iA1.00","Punjabi - ethnic category 2001 census","1. South Asian"
"141531000000112","92651000000105","141531000000112","9iA2","9iA2.00","Kashmiri - ethnic category 2001 census","1. South Asian"
"141541000000115","92661000000108","141541000000115","9iA3","9iA3.00","East African Asian - ethnic category 2001 census","1. South Asian"
"141551000000117","92671000000101","141551000000117","9iA5","9iA5.00","Tamil - ethnic category 2001 census","1. South Asian"
"141561000000119","92681000000104","141561000000119","9iA8","9iA8.00","British Asian - ethnic category 2001 census","1. South Asian"
"141571000000114","92691000000102","141571000000114","9iA7","9iA7.00","Caribbean Asian - ethnic category 2001 census","1. South Asian"
"937651000006117","92701000000102","141581000000111","9iAA","9iAA.00","Other Asian or Asian unspecified - ethnic category 2001 census","1. South Asian"
"141591000000113","92711000000100","141591000000113","9iD0","9iD0.00","Somali - ethnic category 2001 census","2. Black"
"158371000000111","92721000000106","158371000000111","9iD3","9iD3.00","Mixed Black - ethnic category 2001 census","2. Black"
"141601000000119","92731000000108","141601000000119","9iD1","9iD1.00","Nigerian - ethnic category 2001 census","2. Black"
"937731000006115","92741000000104","141611000000117","9iD4","9iD4.00","Other Black or Black unspecified - ethnic category 2001 census","2. Black"
"141621000000111","92751000000101","141621000000111","9iF0","9iF0.00","Vietnamese - ethnic category 2001 census","3. Other"
"141631000000113","92761000000103","141631000000113","9iF1","9iF1.00","Japanese - ethnic category 2001 census","3. Other"
"141641000000116","92771000000105","141641000000116","9iF2","9iF2.00","Filipino - ethnic category 2001 census","3. Other"
"141651000000118","92781000000107","141651000000118","9iF3","9iF3.00","Malaysian - ethnic category 2001 census","3. Other"
"141661000000115","92791000000109","141661000000115","9i26","9i26.00","Cypriot (part not stated) - ethnic category 2001 census","0. White"
"142691000000116","93921000000101","142691000000116","9i25","9i25.00","Ulster Scots - ethnic category 2001 census","0. White"
"142701000000116","93931000000104","142701000000116","9i27","9i27.00","Greek - ethnic category 2001 census","0. White"
"142711000000119","93941000000108","142711000000119","9i28","9i28.00","Greek Cypriot - ethnic category 2001 census","0. White"
"142721000000113","93951000000106","142721000000113","9i2A","9i2A.00","Turkish Cypriot - ethnic category 2001 census","0. White"
"158481000000115","93961000000109","158481000000115","9i2B","9i2B.00","Italian - ethnic category 2001 census","0. White"
"142741000000118","93981000000100","142741000000118","9i2J","9i2J.00","Kosovan - ethnic category 2001 census","0. White"
"142751000000115","93991000000103","142751000000115","9i2L","9i2L.00","Bosnian - ethnic category 2001 census","0. White"
"142761000000117","94001000000108","142761000000117","9i2M","9i2M.00","Croatian - ethnic category 2001 census","0. White"
"937371000006116","94011000000105","142771000000112","9i2P","9i2P.00","Other republics which made up the former Yugoslavia - ethnic category 2001 census","0. White"
"142781000000114","94021000000104","142781000000114","9i2Q","9i2Q.00","Mixed Irish and other White - ethnic category 2001 census","0. White"
"142791000000111","94031000000102","142791000000111","9i2S","9i2S.00","Other mixed White - ethnic category 2001 census","0. White"
"937391000006115","94041000000106","142801000000110","9i2R","9i2R.00","Other White European or European unspecified or Mixed European - ethnic category 2001 census","0. White"
