prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,category_rx
"10212141000033111","28808411000001103","Prednisolone 10mg tablets","Prednisolone 10mg tablets","Tablet","Oral","Prednisolone","10.000mg","","Oral corticosteroids"
"10212341000033114","28808711000001109","Prednisolone 20mg tablets","Prednisolone 20mg tablets","Tablet","Oral","Prednisolone","20.000mg","","Oral corticosteroids"
"10212441000033115","28798211000001102","Pevanti 2.5mg tablets (Advanz Pharma)","Pevanti 2.5mg tablets","Tablet","Oral","Prednisolone","2.500mg","","Oral corticosteroids"
"10212541000033119","28799011000001102","Pevanti 5mg tablets (Advanz Pharma)","Pevanti 5mg tablets","Tablet","Oral","Prednisolone","5.000mg","","Oral corticosteroids"
"10212641000033118","28799311000001104","Pevanti 10mg tablets (Advanz Pharma)","Pevanti 10mg tablets","Tablet","Oral","Prednisolone","10.000mg","","Oral corticosteroids"
"10212741000033110","28799611000001109","Pevanti 20mg tablets (Advanz Pharma)","Pevanti 20mg tablets","Tablet","Oral","Prednisolone","20.000mg","","Oral corticosteroids"
"10212941000033113","28799811000001108","Pevanti 25mg tablets (Advanz Pharma)","Pevanti 25mg tablets","Tablet","Oral","Prednisolone","25.000mg","","Oral corticosteroids"
"10266841000033117","29424511000001109","Prednisolone 5mg/5ml oral solution unit dose","Prednisolone 5mg/5ml oral solution unit dose","Oral solution","Oral","Prednisolone","1.000mg/1.000ml","","Oral corticosteroids"
"1044541000033118","","Penicillin V Capsules 250 mg","","","","","","","Antibiotics"
"10494341000033117","29904211000001102","Prednisolone 10mg/ml oral solution sugar free","Prednisolone 10mg/ml oral solution sugar free","Oral solution","Oral","Prednisolone","10.000mg/1.000ml","","Oral corticosteroids"
"1051141000033110","","Penicillin V Elixir 125 mg/5 ml","","","","","","","Antibiotics"
"1051241000033115","","Penicillin V Elixir 250 mg/5 ml","","","","","","","Antibiotics"
"1051341000033113","","Penicillin V Elixir 62.5 mg/5 ml","","","","","","","Antibiotics"
