medcodeid,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,term,fev1,fev1_predicted,fev1_percent_pred,fvc,fvc_predicted,fvc_percent_pred,fev1_fvc_ratio,fev1_fvc_ratio_predicted,fev1_fvc_ratio_percent_pred,bronchdil,generalspirom,spirom_all
"135511000006112","127783003","1070016","5882","5882.00","Spirometry",,,,,,,,,,"Unspecified",1,1
"1070016","127783003","1070016","745C1","745C100","Spirometry",,,,,,,,,,"Unspecified",1,1
"135521000006116","135521000006100","135521000006116","EMISHGT36","","Spirometry requested",,,,,,,,,,"Unspecified",1,1
"256685010","165039000","256685010","33960","3396000","FVC - forced vital capacity normal",,,,1,,,,,,"Unspecified",,1
"256686011","165040003","256686011","33961","3396100","FVC - forced vital capacity abnormal",,,,1,,,,,,"Unspecified",,1
"4588671000006119","165041004","1221361018","^ESCTFE458867","","FEV - Forced expired volume",1,,,,,,,,,"Unspecified",,1
"764471000006117","165041004","256687019","3397","3397.00","Forced expired volume",1,,,,,,,,,"Unspecified",,1
"4588721000006111","165042006","2619112018","^ESCTFO458872","","Forced expiratory volume (FEV) normal",1,,,,,,,,,"Unspecified",,1
"4588731000006114","165042006","2915219013","^ESCTFO458873","","Forced expiratory volume normal",1,,,,,,,,,"Unspecified",,1
"256689016","165043001","256689016","3398","3398.00","FEV1/FVC ratio normal",,,,,,,1,,,"Unspecified",,1
"4588751000006119","165043001","2619113011","^ESCTFO458875","","Forced expiratory volume in one second (FEV1)/Forced vital capacity (FVC) ratio normal",,,,,,,1,,,"Unspecified",,1
"4588761000006117","165043001","2913844014","^ESCTFO458876","","Forced expiratory volume in one second/forced vital capacity ratio normal",,,,,,,1,,,"Unspecified",,1
"256690013","165044007","256690013","3399","3399.00","FEV1/FVC ratio abnormal",,,,,,,1,,,"Unspecified",,1
"4588781000006110","165044007","2619114017","^ESCTFO458878","","Forced expiratory volume in one second (FEV1)/Forced vital capacity (FVC) ratio abnormal",,,,,,,1,,,"Unspecified",,1
"4588791000006113","165044007","2913989014","^ESCTFO458879","","Forced expiratory volume in one second/forced vital capacity ratio abnormal",,,,,,,1,,,"Unspecified",,1
"265362014","171255006","265362014","68M","68M..00","Spirometry screening",,,,,,,,,,"Unspecified",1,1
"1761631000006119","1761631000006103","1761631000006119","EMISNQFE8","","FEV1 after bronchial provocation test",1,,,,,,,,,"Post-bronchodilation",,1
"1761641000006112","1761641000006108","1761641000006112","EMISNQFV1","","FVC after bronchial provocation test",,,,1,,,,,,"Post-bronchodilation",,1
"1761661000006111","1761661000006107","1761661000006111","EMISNQFE9","","FEV1 before bronchial provocation test",1,,,,,,,,,"Pre-bronchodilation",,1
"1761671000006116","1761671000006100","1761671000006116","EMISNQFV2","","FVC before bronchial provocation test",,,,1,,,,,,"Pre-bronchodilation",,1
"1771021000006117","1771021000006101","1771021000006117","EMISNQPE29","","Percentage predicted FEV1 after exercise",,,1,,,,,,,"Unspecified",,1
"1821541000006119","1821541000006103","1821541000006119","JHCFE6","","FEV1 > 80% of predicted",,,1,,,,,,,"Unspecified",,1
"1821551000006117","1821551000006101","1821551000006117","JHCFE7","","FEV1 variability < 20%",,,1,,,,,,,"Unspecified",,1
"1821561000006115","1821561000006104","1821561000006115","JHCFE8","","FEV1 variability 20-30%",,,1,,,,,,,"Unspecified",,1
"1821581000006113","1821581000006109","1821581000006113","JHCFE9","","FEV1 60-80% of predicted",,,1,,,,,,,"Unspecified",,1
"1821591000006111","1821591000006107","1821591000006111","JHCFE10","","FEV1 variability > 30%",,,1,,,,,,,"Unspecified",,1
"1821601000006115","1821601000006104","1821601000006115","JHCFE11","","FEV1 < 60% of predicted",,,1,,,,,,,"Unspecified",,1
"1875691000006114","1875691000006105","1875691000006114","EMISNQFE14","","FEV1/SVC percent",,,,,,,,,,"Unspecified",1,1
"317271000000119","206251000000103","317271000000119","8BR0","8BR0.00","Spirometry indicated",,,,,,,,,,"Unspecified",1,1
"5308471000006114","251943006","1224802018","^ESCTFE530847","","FEV1/VC ratio",,,,,,,,,,"Unspecified",1,1
"474781000000116","251943006","375283017","339r","339r.00","FEV1/VC percent",,,,,,,,,,"Unspecified",1,1
"375283017","251943006","375283017","339O1","339O100","Forced expired volume in one second/vital capacity ratio",,,,,,,,,,"Unspecified",1,1
"5308501000006119","251944000","1224804017","^ESCTFO530850","","Forced expired volume in 1 second : forced vital capacity ratio",,,,,,,1,,,"Unspecified",,1
"1224805016","251944000","1224805016","339M","339M.00","FEV1/FVC ratio",,,,,,,1,,,"Unspecified",,1
"5308481000006112","251944000","375284011","^ESCTFO530848","","Forced expired volume in one second/forced vital capacity ratio",,,,,,,1,,,"Unspecified",,1
"5308491000006110","251944000","375285012","^ESCTFO530849","","Forced expired volume in one sec/forced vital capacity ratio",,,,,,,1,,,"Unspecified",,1
"5999141000006112","310360002","2972684011","^ESCTEX599914","","Expected forced expiratory volume in one second/Forced vital capacity ratio",,,,,,,,1,,"Unspecified",,1
"453937018","310360002","453937018","339N","339N.00","Expected FEV1/FVC ratio",,,,,,,,1,,"Unspecified",,1
"6000931000006116","310520004","454109018","^ESCTEX600093","","Expected forced expired volume in 1 second",,1,,,,,,,,"Unspecified",,1
"454110011","310520004","454110011","339P","339P.00","Expected FEV1",,1,,,,,,,,"Unspecified",,1
